generation_no,run_desc,population_size,Sum of fitness
1,Improved Algorithm,15,-255
1,Improved Algorithm,30,-265
1,Improved Algorithm,60,-270
1,Improved Algorithm,120,-200
1,Standard Algorithm,15,-555
1,Standard Algorithm,30,-490
1,Standard Algorithm,60,-370
1,Standard Algorithm,120,-460
2,Improved Algorithm,15,-255
2,Improved Algorithm,30,-265
2,Improved Algorithm,60,-245
2,Improved Algorithm,120,-200
2,Standard Algorithm,15,-515
2,Standard Algorithm,30,-445
2,Standard Algorithm,60,-335
2,Standard Algorithm,120,-390
3,Improved Algorithm,15,-255
3,Improved Algorithm,30,-235
3,Improved Algorithm,60,-205
3,Improved Algorithm,120,-200
3,Standard Algorithm,15,-500
3,Standard Algorithm,30,-445
3,Standard Algorithm,60,-320
3,Standard Algorithm,120,-370
4,Improved Algorithm,15,-255
4,Improved Algorithm,30,-235
4,Improved Algorithm,60,-205
4,Improved Algorithm,120,-200
4,Standard Algorithm,15,-485
4,Standard Algorithm,30,-445
4,Standard Algorithm,60,-320
4,Standard Algorithm,120,-370
5,Improved Algorithm,15,-255
5,Improved Algorithm,30,-220
5,Improved Algorithm,60,-205
5,Improved Algorithm,120,-200
5,Standard Algorithm,15,-485
5,Standard Algorithm,30,-435
5,Standard Algorithm,60,-320
5,Standard Algorithm,120,-370
6,Improved Algorithm,15,-255
6,Improved Algorithm,30,-220
6,Improved Algorithm,60,-180
6,Improved Algorithm,120,-195
6,Standard Algorithm,15,-485
6,Standard Algorithm,30,-415
6,Standard Algorithm,60,-315
6,Standard Algorithm,120,-330
7,Improved Algorithm,15,-255
7,Improved Algorithm,30,-220
7,Improved Algorithm,60,-180
7,Improved Algorithm,120,-190
7,Standard Algorithm,15,-485
7,Standard Algorithm,30,-405
7,Standard Algorithm,60,-280
7,Standard Algorithm,120,-330
8,Improved Algorithm,15,-255
8,Improved Algorithm,30,-205
8,Improved Algorithm,60,-150
8,Improved Algorithm,120,-190
8,Standard Algorithm,15,-485
8,Standard Algorithm,30,-365
8,Standard Algorithm,60,-280
8,Standard Algorithm,120,-330
9,Improved Algorithm,15,-255
9,Improved Algorithm,30,-185
9,Improved Algorithm,60,-150
9,Improved Algorithm,120,-185
9,Standard Algorithm,15,-485
9,Standard Algorithm,30,-365
9,Standard Algorithm,60,-250
9,Standard Algorithm,120,-320
10,Improved Algorithm,15,-255
10,Improved Algorithm,30,-185
10,Improved Algorithm,60,-150
10,Improved Algorithm,120,-185
10,Standard Algorithm,15,-385
10,Standard Algorithm,30,-320
10,Standard Algorithm,60,-245
10,Standard Algorithm,120,-320
11,Improved Algorithm,15,-255
11,Improved Algorithm,30,-185
11,Improved Algorithm,60,-150
11,Improved Algorithm,120,-170
11,Standard Algorithm,15,-385
11,Standard Algorithm,30,-320
11,Standard Algorithm,60,-245
11,Standard Algorithm,120,-305
12,Improved Algorithm,15,-255
12,Improved Algorithm,30,-185
12,Improved Algorithm,60,-130
12,Improved Algorithm,120,-160
12,Standard Algorithm,15,-385
12,Standard Algorithm,30,-320
12,Standard Algorithm,60,-235
12,Standard Algorithm,120,-270
13,Improved Algorithm,15,-255
13,Improved Algorithm,30,-175
13,Improved Algorithm,60,-130
13,Improved Algorithm,120,-160
13,Standard Algorithm,15,-385
13,Standard Algorithm,30,-300
13,Standard Algorithm,60,-235
13,Standard Algorithm,120,-260
14,Improved Algorithm,15,-255
14,Improved Algorithm,30,-175
14,Improved Algorithm,60,-130
14,Improved Algorithm,120,-160
14,Standard Algorithm,15,-385
14,Standard Algorithm,30,-300
14,Standard Algorithm,60,-225
14,Standard Algorithm,120,-260
15,Improved Algorithm,15,-245
15,Improved Algorithm,30,-160
15,Improved Algorithm,60,-125
15,Improved Algorithm,120,-135
15,Standard Algorithm,15,-385
15,Standard Algorithm,30,-300
15,Standard Algorithm,60,-205
15,Standard Algorithm,120,-260
16,Improved Algorithm,15,-245
16,Improved Algorithm,30,-155
16,Improved Algorithm,60,-120
16,Improved Algorithm,120,-125
16,Standard Algorithm,15,-385
16,Standard Algorithm,30,-300
16,Standard Algorithm,60,-205
16,Standard Algorithm,120,-260
17,Improved Algorithm,15,-245
17,Improved Algorithm,30,-155
17,Improved Algorithm,60,-120
17,Improved Algorithm,120,-120
17,Standard Algorithm,15,-385
17,Standard Algorithm,30,-290
17,Standard Algorithm,60,-205
17,Standard Algorithm,120,-225
18,Improved Algorithm,15,-245
18,Improved Algorithm,30,-150
18,Improved Algorithm,60,-105
18,Improved Algorithm,120,-100
18,Standard Algorithm,15,-385
18,Standard Algorithm,30,-275
18,Standard Algorithm,60,-205
18,Standard Algorithm,120,-225
19,Improved Algorithm,15,-210
19,Improved Algorithm,30,-150
19,Improved Algorithm,60,-95
19,Improved Algorithm,120,-100
19,Standard Algorithm,15,-385
19,Standard Algorithm,30,-275
19,Standard Algorithm,60,-200
19,Standard Algorithm,120,-225
20,Improved Algorithm,15,-200
20,Improved Algorithm,30,-145
20,Improved Algorithm,60,-95
20,Improved Algorithm,120,-90
20,Standard Algorithm,15,-385
20,Standard Algorithm,30,-275
20,Standard Algorithm,60,-200
20,Standard Algorithm,120,-225
21,Improved Algorithm,15,-200
21,Improved Algorithm,30,-140
21,Improved Algorithm,60,-90
21,Improved Algorithm,120,-70
21,Standard Algorithm,15,-385
21,Standard Algorithm,30,-275
21,Standard Algorithm,60,-200
21,Standard Algorithm,120,-225
22,Improved Algorithm,15,-200
22,Improved Algorithm,30,-140
22,Improved Algorithm,60,-90
22,Improved Algorithm,120,-70
22,Standard Algorithm,15,-385
22,Standard Algorithm,30,-265
22,Standard Algorithm,60,-190
22,Standard Algorithm,120,-195
23,Improved Algorithm,15,-200
23,Improved Algorithm,30,-140
23,Improved Algorithm,60,-85
23,Improved Algorithm,120,-70
23,Standard Algorithm,15,-385
23,Standard Algorithm,30,-265
23,Standard Algorithm,60,-190
23,Standard Algorithm,120,-195
24,Improved Algorithm,15,-200
24,Improved Algorithm,30,-135
24,Improved Algorithm,60,-85
24,Improved Algorithm,120,-65
24,Standard Algorithm,15,-385
24,Standard Algorithm,30,-250
24,Standard Algorithm,60,-170
24,Standard Algorithm,120,-195
25,Improved Algorithm,15,-200
25,Improved Algorithm,30,-130
25,Improved Algorithm,60,-70
25,Improved Algorithm,120,-65
25,Standard Algorithm,15,-385
25,Standard Algorithm,30,-250
25,Standard Algorithm,60,-170
25,Standard Algorithm,120,-185
26,Improved Algorithm,15,-200
26,Improved Algorithm,30,-130
26,Improved Algorithm,60,-70
26,Improved Algorithm,120,-55
26,Standard Algorithm,15,-385
26,Standard Algorithm,30,-250
26,Standard Algorithm,60,-155
26,Standard Algorithm,120,-165
27,Improved Algorithm,15,-200
27,Improved Algorithm,30,-130
27,Improved Algorithm,60,-70
27,Improved Algorithm,120,-55
27,Standard Algorithm,15,-385
27,Standard Algorithm,30,-225
27,Standard Algorithm,60,-155
27,Standard Algorithm,120,-165
28,Improved Algorithm,15,-200
28,Improved Algorithm,30,-125
28,Improved Algorithm,60,-60
28,Improved Algorithm,120,-55
28,Standard Algorithm,15,-385
28,Standard Algorithm,30,-225
28,Standard Algorithm,60,-155
28,Standard Algorithm,120,-165
29,Improved Algorithm,15,-200
29,Improved Algorithm,30,-105
29,Improved Algorithm,60,-60
29,Improved Algorithm,120,-55
29,Standard Algorithm,15,-385
29,Standard Algorithm,30,-225
29,Standard Algorithm,60,-155
29,Standard Algorithm,120,-165
30,Improved Algorithm,15,-200
30,Improved Algorithm,30,-105
30,Improved Algorithm,60,-55
30,Improved Algorithm,120,-50
30,Standard Algorithm,15,-385
30,Standard Algorithm,30,-225
30,Standard Algorithm,60,-145
30,Standard Algorithm,120,-160
31,Improved Algorithm,15,-200
31,Improved Algorithm,30,-105
31,Improved Algorithm,60,-55
31,Improved Algorithm,120,-30
31,Standard Algorithm,15,-385
31,Standard Algorithm,30,-215
31,Standard Algorithm,60,-145
31,Standard Algorithm,120,-160
32,Improved Algorithm,15,-200
32,Improved Algorithm,30,-105
32,Improved Algorithm,60,-55
32,Improved Algorithm,120,-30
32,Standard Algorithm,15,-385
32,Standard Algorithm,30,-215
32,Standard Algorithm,60,-145
32,Standard Algorithm,120,-155
33,Improved Algorithm,15,-200
33,Improved Algorithm,30,-105
33,Improved Algorithm,60,-55
33,Improved Algorithm,120,-30
33,Standard Algorithm,15,-385
33,Standard Algorithm,30,-215
33,Standard Algorithm,60,-145
33,Standard Algorithm,120,-155
34,Improved Algorithm,15,-200
34,Improved Algorithm,30,-105
34,Improved Algorithm,60,-50
34,Improved Algorithm,120,-30
34,Standard Algorithm,15,-385
34,Standard Algorithm,30,-215
34,Standard Algorithm,60,-135
34,Standard Algorithm,120,-155
35,Improved Algorithm,15,-200
35,Improved Algorithm,30,-95
35,Improved Algorithm,60,-45
35,Improved Algorithm,120,-30
35,Standard Algorithm,15,-385
35,Standard Algorithm,30,-205
35,Standard Algorithm,60,-135
35,Standard Algorithm,120,-145
36,Improved Algorithm,15,-200
36,Improved Algorithm,30,-95
36,Improved Algorithm,60,-45
36,Improved Algorithm,120,-30
36,Standard Algorithm,15,-385
36,Standard Algorithm,30,-205
36,Standard Algorithm,60,-125
36,Standard Algorithm,120,-125
37,Improved Algorithm,15,-200
37,Improved Algorithm,30,-90
37,Improved Algorithm,60,-45
37,Improved Algorithm,120,-20
37,Standard Algorithm,15,-385
37,Standard Algorithm,30,-200
37,Standard Algorithm,60,-125
37,Standard Algorithm,120,-125
38,Improved Algorithm,15,-195
38,Improved Algorithm,30,-90
38,Improved Algorithm,60,-45
38,Improved Algorithm,120,-20
38,Standard Algorithm,15,-385
38,Standard Algorithm,30,-200
38,Standard Algorithm,60,-110
38,Standard Algorithm,120,-125
39,Improved Algorithm,15,-195
39,Improved Algorithm,30,-90
39,Improved Algorithm,60,-45
39,Improved Algorithm,120,-5
39,Standard Algorithm,15,-385
39,Standard Algorithm,30,-200
39,Standard Algorithm,60,-110
39,Standard Algorithm,120,-120
40,Improved Algorithm,15,-195
40,Improved Algorithm,30,-85
40,Improved Algorithm,60,-45
40,Improved Algorithm,120,-5
40,Standard Algorithm,15,-385
40,Standard Algorithm,30,-195
40,Standard Algorithm,60,-110
40,Standard Algorithm,120,-120
41,Improved Algorithm,15,-195
41,Improved Algorithm,30,-85
41,Improved Algorithm,60,-45
41,Improved Algorithm,120,-5
41,Standard Algorithm,15,-385
41,Standard Algorithm,30,-195
41,Standard Algorithm,60,-110
41,Standard Algorithm,120,-120
42,Improved Algorithm,15,-195
42,Improved Algorithm,30,-85
42,Improved Algorithm,60,-35
42,Improved Algorithm,120,-5
42,Standard Algorithm,15,-385
42,Standard Algorithm,30,-175
42,Standard Algorithm,60,-110
42,Standard Algorithm,120,-115
43,Improved Algorithm,15,-195
43,Improved Algorithm,30,-85
43,Improved Algorithm,60,-35
43,Improved Algorithm,120,-5
43,Standard Algorithm,15,-385
43,Standard Algorithm,30,-170
43,Standard Algorithm,60,-110
43,Standard Algorithm,120,-115
44,Improved Algorithm,15,-195
44,Improved Algorithm,30,-85
44,Improved Algorithm,60,-35
44,Improved Algorithm,120,5
44,Standard Algorithm,15,-385
44,Standard Algorithm,30,-170
44,Standard Algorithm,60,-110
44,Standard Algorithm,120,-115
45,Improved Algorithm,15,-195
45,Improved Algorithm,30,-80
45,Improved Algorithm,60,-30
45,Improved Algorithm,120,10
45,Standard Algorithm,15,-385
45,Standard Algorithm,30,-170
45,Standard Algorithm,60,-110
45,Standard Algorithm,120,-110
46,Improved Algorithm,15,-195
46,Improved Algorithm,30,-70
46,Improved Algorithm,60,-30
46,Improved Algorithm,120,25
46,Standard Algorithm,15,-385
46,Standard Algorithm,30,-170
46,Standard Algorithm,60,-110
46,Standard Algorithm,120,-110
47,Improved Algorithm,15,-195
47,Improved Algorithm,30,-60
47,Improved Algorithm,60,-30
47,Improved Algorithm,120,30
47,Standard Algorithm,15,-385
47,Standard Algorithm,30,-170
47,Standard Algorithm,60,-100
47,Standard Algorithm,120,-105
48,Improved Algorithm,15,-195
48,Improved Algorithm,30,-60
48,Improved Algorithm,60,-30
48,Improved Algorithm,120,30
48,Standard Algorithm,15,-385
48,Standard Algorithm,30,-160
48,Standard Algorithm,60,-100
48,Standard Algorithm,120,-105
49,Improved Algorithm,15,-195
49,Improved Algorithm,30,-60
49,Improved Algorithm,60,-30
49,Improved Algorithm,120,30
49,Standard Algorithm,15,-385
49,Standard Algorithm,30,-160
49,Standard Algorithm,60,-100
49,Standard Algorithm,120,-85
50,Improved Algorithm,15,-195
50,Improved Algorithm,30,-60
50,Improved Algorithm,60,-30
50,Improved Algorithm,120,30
50,Standard Algorithm,15,-385
50,Standard Algorithm,30,-160
50,Standard Algorithm,60,-100
50,Standard Algorithm,120,-85
51,Improved Algorithm,15,-195
51,Improved Algorithm,30,-60
51,Improved Algorithm,60,-20
51,Improved Algorithm,120,30
51,Standard Algorithm,15,-385
51,Standard Algorithm,30,-160
51,Standard Algorithm,60,-95
51,Standard Algorithm,120,-85
52,Improved Algorithm,15,-195
52,Improved Algorithm,30,-45
52,Improved Algorithm,60,-20
52,Improved Algorithm,120,30
52,Standard Algorithm,15,-385
52,Standard Algorithm,30,-160
52,Standard Algorithm,60,-95
52,Standard Algorithm,120,-80
53,Improved Algorithm,15,-195
53,Improved Algorithm,30,-40
53,Improved Algorithm,60,-20
53,Improved Algorithm,120,30
53,Standard Algorithm,15,-385
53,Standard Algorithm,30,-155
53,Standard Algorithm,60,-95
53,Standard Algorithm,120,-80
54,Improved Algorithm,15,-195
54,Improved Algorithm,30,-40
54,Improved Algorithm,60,-20
54,Improved Algorithm,120,30
54,Standard Algorithm,15,-385
54,Standard Algorithm,30,-155
54,Standard Algorithm,60,-95
54,Standard Algorithm,120,-80
55,Improved Algorithm,15,-195
55,Improved Algorithm,30,-40
55,Improved Algorithm,60,-20
55,Improved Algorithm,120,30
55,Standard Algorithm,15,-385
55,Standard Algorithm,30,-155
55,Standard Algorithm,60,-85
55,Standard Algorithm,120,-80
56,Improved Algorithm,15,-195
56,Improved Algorithm,30,-40
56,Improved Algorithm,60,-10
56,Improved Algorithm,120,30
56,Standard Algorithm,15,-385
56,Standard Algorithm,30,-155
56,Standard Algorithm,60,-85
56,Standard Algorithm,120,-70
57,Improved Algorithm,15,-195
57,Improved Algorithm,30,-40
57,Improved Algorithm,60,-10
57,Improved Algorithm,120,35
57,Standard Algorithm,15,-385
57,Standard Algorithm,30,-155
57,Standard Algorithm,60,-85
57,Standard Algorithm,120,-65
58,Improved Algorithm,15,-195
58,Improved Algorithm,30,-40
58,Improved Algorithm,60,-10
58,Improved Algorithm,120,35
58,Standard Algorithm,15,-385
