time,Sum of used_mem_mb,run_desc
8.9,110,Standard Algorithm
9.4,110,Standard Algorithm
27.4,93,Improved Algorithm
26.9,92,Improved Algorithm
8.7,87,Improved Algorithm
9.2,87,Improved Algorithm
17.7,60,Standard Algorithm
18.2,60,Standard Algorithm
0.5,59,Improved Algorithm
4.5,59,Standard Algorithm
0,58,Improved Algorithm
0,58,Standard Algorithm
9.9,48,Standard Algorithm
17.7,48,Improved Algorithm
18.2,48,Improved Algorithm
27.2,48,Standard Algorithm
9.7,47,Improved Algorithm
26.7,47,Standard Algorithm
10.7,45,Improved Algorithm
14.9,45,Standard Algorithm
18.7,45,Standard Algorithm
19.7,45,Improved Algorithm
19.7,45,Standard Algorithm
27.9,45,Improved Algorithm
28.7,45,Standard Algorithm
30.2,45,Standard Algorithm
6,44,Improved Algorithm
6,44,Standard Algorithm
7.5,44,Standard Algorithm
10.2,44,Improved Algorithm
10.4,44,Standard Algorithm
15.2,44,Improved Algorithm
15.4,44,Standard Algorithm
15.7,44,Improved Algorithm
15.9,44,Standard Algorithm
16.2,44,Improved Algorithm
16.4,44,Standard Algorithm
18.7,44,Improved Algorithm
19.2,44,Improved Algorithm
19.2,44,Standard Algorithm
20.2,44,Improved Algorithm
20.2,44,Standard Algorithm
20.7,44,Improved Algorithm
24.7,44,Standard Algorithm
25.2,44,Improved Algorithm
25.2,44,Standard Algorithm
27.7,44,Standard Algorithm
28.2,44,Standard Algorithm
28.4,44,Improved Algorithm
28.9,44,Improved Algorithm
29.2,44,Standard Algorithm
29.4,44,Improved Algorithm
29.7,44,Standard Algorithm
29.9,44,Improved Algorithm
30.4,44,Improved Algorithm
5,43,Improved Algorithm
5,43,Standard Algorithm
5.5,43,Improved Algorithm
5.5,43,Standard Algorithm
6.5,43,Improved Algorithm
6.5,43,Standard Algorithm
7,43,Improved Algorithm
7,43,Standard Algorithm
7.5,43,Improved Algorithm
