generation_no,run_desc,population_size,Sum of fitness
1,Improved Algorithm,15,-440
1,Improved Algorithm,30,-435
1,Improved Algorithm,60,-345
1,Improved Algorithm,120,-405
1,Standard Algorithm,15,-705
1,Standard Algorithm,30,-680
1,Standard Algorithm,60,-710
1,Standard Algorithm,120,-560
2,Improved Algorithm,15,-440
2,Improved Algorithm,30,-435
2,Improved Algorithm,60,-345
2,Improved Algorithm,120,-405
2,Standard Algorithm,15,-705
2,Standard Algorithm,30,-680
2,Standard Algorithm,60,-525
2,Standard Algorithm,120,-560
3,Improved Algorithm,15,-440
3,Improved Algorithm,30,-435
3,Improved Algorithm,60,-345
3,Improved Algorithm,120,-390
3,Standard Algorithm,15,-685
3,Standard Algorithm,30,-680
3,Standard Algorithm,60,-525
3,Standard Algorithm,120,-510
4,Improved Algorithm,15,-440
4,Improved Algorithm,30,-385
4,Improved Algorithm,60,-345
4,Improved Algorithm,120,-385
4,Standard Algorithm,15,-590
4,Standard Algorithm,30,-650
4,Standard Algorithm,60,-495
4,Standard Algorithm,120,-495
5,Improved Algorithm,15,-440
5,Improved Algorithm,30,-385
5,Improved Algorithm,60,-325
5,Improved Algorithm,120,-375
5,Standard Algorithm,15,-590
5,Standard Algorithm,30,-630
5,Standard Algorithm,60,-495
5,Standard Algorithm,120,-420
6,Improved Algorithm,15,-440
6,Improved Algorithm,30,-385
6,Improved Algorithm,60,-320
6,Improved Algorithm,120,-375
6,Standard Algorithm,15,-590
6,Standard Algorithm,30,-630
6,Standard Algorithm,60,-435
6,Standard Algorithm,120,-420
7,Improved Algorithm,15,-390
7,Improved Algorithm,30,-385
7,Improved Algorithm,60,-320
7,Improved Algorithm,120,-370
7,Standard Algorithm,15,-590
7,Standard Algorithm,30,-580
7,Standard Algorithm,60,-435
7,Standard Algorithm,120,-420
8,Improved Algorithm,15,-390
8,Improved Algorithm,30,-385
8,Improved Algorithm,60,-310
8,Improved Algorithm,120,-360
8,Standard Algorithm,15,-590
8,Standard Algorithm,30,-580
8,Standard Algorithm,60,-415
8,Standard Algorithm,120,-420
9,Improved Algorithm,15,-390
9,Improved Algorithm,30,-385
9,Improved Algorithm,60,-310
9,Improved Algorithm,120,-360
9,Standard Algorithm,15,-580
9,Standard Algorithm,30,-515
9,Standard Algorithm,60,-415
9,Standard Algorithm,120,-390
10,Improved Algorithm,15,-390
10,Improved Algorithm,30,-340
10,Improved Algorithm,60,-295
10,Improved Algorithm,120,-360
10,Standard Algorithm,15,-580
10,Standard Algorithm,30,-495
10,Standard Algorithm,60,-415
10,Standard Algorithm,120,-360
11,Improved Algorithm,15,-390
11,Improved Algorithm,30,-330
11,Improved Algorithm,60,-295
11,Improved Algorithm,120,-350
11,Standard Algorithm,15,-580
11,Standard Algorithm,30,-495
11,Standard Algorithm,60,-405
11,Standard Algorithm,120,-360
12,Improved Algorithm,15,-390
12,Improved Algorithm,30,-325
12,Improved Algorithm,60,-290
12,Improved Algorithm,120,-340
12,Standard Algorithm,15,-580
12,Standard Algorithm,30,-495
12,Standard Algorithm,60,-390
12,Standard Algorithm,120,-350
13,Improved Algorithm,15,-390
13,Improved Algorithm,30,-315
13,Improved Algorithm,60,-285
13,Improved Algorithm,120,-335
13,Standard Algorithm,15,-580
13,Standard Algorithm,30,-460
13,Standard Algorithm,60,-390
13,Standard Algorithm,120,-335
14,Improved Algorithm,15,-390
14,Improved Algorithm,30,-315
14,Improved Algorithm,60,-285
14,Improved Algorithm,120,-320
14,Standard Algorithm,15,-580
14,Standard Algorithm,30,-460
14,Standard Algorithm,60,-370
14,Standard Algorithm,120,-335
15,Improved Algorithm,15,-390
15,Improved Algorithm,30,-310
15,Improved Algorithm,60,-275
15,Improved Algorithm,120,-315
15,Standard Algorithm,15,-580
15,Standard Algorithm,30,-450
15,Standard Algorithm,60,-355
15,Standard Algorithm,120,-335
16,Improved Algorithm,15,-390
16,Improved Algorithm,30,-285
16,Improved Algorithm,60,-275
16,Improved Algorithm,120,-290
16,Standard Algorithm,15,-580
16,Standard Algorithm,30,-450
16,Standard Algorithm,60,-345
16,Standard Algorithm,120,-315
17,Improved Algorithm,15,-390
17,Improved Algorithm,30,-285
17,Improved Algorithm,60,-275
17,Improved Algorithm,120,-290
17,Standard Algorithm,15,-580
17,Standard Algorithm,30,-435
17,Standard Algorithm,60,-345
17,Standard Algorithm,120,-290
18,Improved Algorithm,15,-390
18,Improved Algorithm,30,-285
18,Improved Algorithm,60,-265
18,Improved Algorithm,120,-285
18,Standard Algorithm,15,-580
18,Standard Algorithm,30,-435
18,Standard Algorithm,60,-345
18,Standard Algorithm,120,-290
19,Improved Algorithm,15,-390
19,Improved Algorithm,30,-280
19,Improved Algorithm,60,-260
19,Improved Algorithm,120,-270
19,Standard Algorithm,15,-580
19,Standard Algorithm,30,-435
19,Standard Algorithm,60,-325
19,Standard Algorithm,120,-290
20,Improved Algorithm,15,-390
20,Improved Algorithm,30,-280
20,Improved Algorithm,60,-260
20,Improved Algorithm,120,-270
20,Standard Algorithm,15,-580
20,Standard Algorithm,30,-435
20,Standard Algorithm,60,-325
20,Standard Algorithm,120,-290
21,Improved Algorithm,15,-390
21,Improved Algorithm,30,-280
21,Improved Algorithm,60,-240
21,Improved Algorithm,120,-255
21,Standard Algorithm,15,-580
21,Standard Algorithm,30,-420
21,Standard Algorithm,60,-295
21,Standard Algorithm,120,-290
22,Improved Algorithm,15,-390
22,Improved Algorithm,30,-280
22,Improved Algorithm,60,-235
22,Improved Algorithm,120,-250
22,Standard Algorithm,15,-580
22,Standard Algorithm,30,-405
22,Standard Algorithm,60,-295
22,Standard Algorithm,120,-255
23,Improved Algorithm,15,-390
23,Improved Algorithm,30,-265
23,Improved Algorithm,60,-210
23,Improved Algorithm,120,-250
23,Standard Algorithm,15,-580
23,Standard Algorithm,30,-405
23,Standard Algorithm,60,-275
