time,Sum of used_mem_mb,run_desc
228.2,114,Improved Algorithm
228.7,114,Improved Algorithm
237,110,Standard Algorithm
237.5,110,Standard Algorithm
237,109,Improved Algorithm
237.5,109,Improved Algorithm
228.2,100,Standard Algorithm
228.7,100,Standard Algorithm
246.4,62,Improved Algorithm
246.9,62,Improved Algorithm
220,58,Improved Algorithm
220,58,Standard Algorithm
219.5,56,Improved Algorithm
219.5,56,Standard Algorithm
229.2,47,Improved Algorithm
229.2,47,Standard Algorithm
238,46,Improved Algorithm
238,46,Standard Algorithm
246.4,46,Standard Algorithm
246.9,46,Standard Algorithm
230.2,45,Improved Algorithm
230.2,45,Standard Algorithm
247.4,45,Improved Algorithm
248.4,45,Improved Algorithm
248.4,45,Standard Algorithm
249.9,45,Improved Algorithm
225.5,44,Improved Algorithm
225.5,44,Standard Algorithm
227,44,Improved Algorithm
227,44,Standard Algorithm
229.7,44,Improved Algorithm
229.7,44,Standard Algorithm
234.7,44,Improved Algorithm
234.7,44,Standard Algorithm
235.2,44,Improved Algorithm
235.2,44,Standard Algorithm
235.7,44,Improved Algorithm
235.7,44,Standard Algorithm
238.5,44,Improved Algorithm
238.5,44,Standard Algorithm
239,44,Improved Algorithm
239,44,Standard Algorithm
239.5,44,Improved Algorithm
239.5,44,Standard Algorithm
240,44,Improved Algorithm
240,44,Standard Algorithm
244.5,44,Improved Algorithm
244.5,44,Standard Algorithm
247.4,44,Standard Algorithm
247.9,44,Improved Algorithm
247.9,44,Standard Algorithm
248.9,44,Improved Algorithm
248.9,44,Standard Algorithm
249.4,44,Improved Algorithm
249.4,44,Standard Algorithm
224.5,43,Improved Algorithm
224.5,43,Standard Algorithm
225,43,Improved Algorithm
225,43,Standard Algorithm
226,43,Improved Algorithm
226,43,Standard Algorithm
226.5,43,Improved Algorithm
226.5,43,Standard Algorithm
