generation_no,run_desc,population_size,Sum of fitness
1,Improved Algorithm,15,-705
1,Improved Algorithm,30,-825
1,Improved Algorithm,60,-775
1,Improved Algorithm,120,-700
1,Standard Algorithm,15,-1415
1,Standard Algorithm,30,-1255
1,Standard Algorithm,60,-1210
1,Standard Algorithm,120,-1080
2,Improved Algorithm,15,-690
2,Improved Algorithm,30,-820
2,Improved Algorithm,60,-740
2,Improved Algorithm,120,-700
2,Standard Algorithm,15,-1255
2,Standard Algorithm,30,-1020
2,Standard Algorithm,60,-1180
2,Standard Algorithm,120,-1080
3,Improved Algorithm,15,-690
3,Improved Algorithm,30,-755
3,Improved Algorithm,60,-740
3,Improved Algorithm,120,-700
3,Standard Algorithm,15,-1255
3,Standard Algorithm,30,-975
3,Standard Algorithm,60,-1180
3,Standard Algorithm,120,-1035
4,Improved Algorithm,15,-690
4,Improved Algorithm,30,-720
4,Improved Algorithm,60,-740
4,Improved Algorithm,120,-700
4,Standard Algorithm,15,-1245
4,Standard Algorithm,30,-975
4,Standard Algorithm,60,-1145
4,Standard Algorithm,120,-1030
5,Improved Algorithm,15,-690
5,Improved Algorithm,30,-720
5,Improved Algorithm,60,-735
5,Improved Algorithm,120,-700
5,Standard Algorithm,15,-1245
5,Standard Algorithm,30,-975
5,Standard Algorithm,60,-995
5,Standard Algorithm,120,-940
6,Improved Algorithm,15,-690
6,Improved Algorithm,30,-720
6,Improved Algorithm,60,-705
6,Improved Algorithm,120,-700
6,Standard Algorithm,15,-1245
6,Standard Algorithm,30,-965
6,Standard Algorithm,60,-990
6,Standard Algorithm,120,-900
7,Improved Algorithm,15,-690
7,Improved Algorithm,30,-710
7,Improved Algorithm,60,-705
7,Improved Algorithm,120,-680
7,Standard Algorithm,15,-1190
7,Standard Algorithm,30,-935
7,Standard Algorithm,60,-990
7,Standard Algorithm,120,-840
8,Improved Algorithm,15,-690
8,Improved Algorithm,30,-710
8,Improved Algorithm,60,-695
8,Improved Algorithm,120,-680
8,Standard Algorithm,15,-1190
8,Standard Algorithm,30,-900
8,Standard Algorithm,60,-940
8,Standard Algorithm,120,-800
9,Improved Algorithm,15,-690
9,Improved Algorithm,30,-705
9,Improved Algorithm,60,-665
9,Improved Algorithm,120,-680
9,Standard Algorithm,15,-1190
9,Standard Algorithm,30,-900
9,Standard Algorithm,60,-940
9,Standard Algorithm,120,-775
10,Improved Algorithm,15,-690
10,Improved Algorithm,30,-695
10,Improved Algorithm,60,-650
10,Improved Algorithm,120,-680
10,Standard Algorithm,15,-1190
10,Standard Algorithm,30,-900
10,Standard Algorithm,60,-920
10,Standard Algorithm,120,-770
11,Improved Algorithm,15,-690
11,Improved Algorithm,30,-685
11,Improved Algorithm,60,-630
11,Improved Algorithm,120,-680
11,Standard Algorithm,15,-1100
11,Standard Algorithm,30,-890
11,Standard Algorithm,60,-920
11,Standard Algorithm,120,-760
12,Improved Algorithm,15,-690
12,Improved Algorithm,30,-675
12,Improved Algorithm,60,-630
12,Improved Algorithm,120,-680
12,Standard Algorithm,15,-1100
12,Standard Algorithm,30,-880
12,Standard Algorithm,60,-890
12,Standard Algorithm,120,-735
13,Improved Algorithm,15,-690
13,Improved Algorithm,30,-660
13,Improved Algorithm,60,-625
13,Improved Algorithm,120,-620
13,Standard Algorithm,15,-1100
13,Standard Algorithm,30,-880
13,Standard Algorithm,60,-890
13,Standard Algorithm,120,-730
14,Improved Algorithm,15,-690
14,Improved Algorithm,30,-650
14,Improved Algorithm,60,-620
14,Improved Algorithm,120,-620
14,Standard Algorithm,15,-1100
14,Standard Algorithm,30,-875
14,Standard Algorithm,60,-860
14,Standard Algorithm,120,-705
15,Improved Algorithm,15,-690
15,Improved Algorithm,30,-610
15,Improved Algorithm,60,-605
15,Improved Algorithm,120,-615
15,Standard Algorithm,15,-1080
15,Standard Algorithm,30,-875
15,Standard Algorithm,60,-805
15,Standard Algorithm,120,-690
16,Improved Algorithm,15,-690
16,Improved Algorithm,30,-610
16,Improved Algorithm,60,-600
16,Improved Algorithm,120,-615
16,Standard Algorithm,15,-1080
16,Standard Algorithm,30,-875
16,Standard Algorithm,60,-805
16,Standard Algorithm,120,-670
17,Improved Algorithm,15,-690
17,Improved Algorithm,30,-590
17,Improved Algorithm,60,-580
17,Improved Algorithm,120,-600
17,Standard Algorithm,15,-1080
17,Standard Algorithm,30,-875
17,Standard Algorithm,60,-805
17,Standard Algorithm,120,-670
18,Improved Algorithm,15,-690
18,Improved Algorithm,30,-590
18,Improved Algorithm,60,-565
18,Improved Algorithm,120,-550
18,Standard Algorithm,15,-1080
18,Standard Algorithm,30,-840
18,Standard Algorithm,60,-775
18,Standard Algorithm,120,-620
19,Improved Algorithm,15,-690
19,Improved Algorithm,30,-590
19,Improved Algorithm,60,-565
19,Improved Algorithm,120,-550
19,Standard Algorithm,15,-1080
19,Standard Algorithm,30,-840
19,Standard Algorithm,60,-760
19,Standard Algorithm,120,-620
20,Improved Algorithm,15,-690
20,Improved Algorithm,30,-575
20,Improved Algorithm,60,-520
20,Improved Algorithm,120,-520
20,Standard Algorithm,15,-1080
20,Standard Algorithm,30,-790
20,Standard Algorithm,60,-745
20,Standard Algorithm,120,-620
21,Improved Algorithm,15,-690
21,Improved Algorithm,30,-575
21,Improved Algorithm,60,-520
21,Improved Algorithm,120,-520
21,Standard Algorithm,15,-1080
21,Standard Algorithm,30,-790
21,Standard Algorithm,60,-720
21,Standard Algorithm,120,-600
22,Improved Algorithm,15,-690
22,Improved Algorithm,30,-555
22,Improved Algorithm,60,-510
22,Improved Algorithm,120,-495
22,Standard Algorithm,15,-1080
22,Standard Algorithm,30,-770
22,Standard Algorithm,60,-700
22,Standard Algorithm,120,-590
23,Improved Algorithm,15,-690
23,Improved Algorithm,30,-555
23,Improved Algorithm,60,-490
23,Improved Algorithm,120,-495
23,Standard Algorithm,15,-1080
23,Standard Algorithm,30,-770
23,Standard Algorithm,60,-700
23,Standard Algorithm,120,-565
24,Improved Algorithm,15,-690
24,Improved Algorithm,30,-550
24,Improved Algorithm,60,-490
24,Improved Algorithm,120,-475
24,Standard Algorithm,15,-1080
24,Standard Algorithm,30,-755
24,Standard Algorithm,60,-670
24,Standard Algorithm,120,-565
25,Improved Algorithm,15,-690
25,Improved Algorithm,30,-540
25,Improved Algorithm,60,-455
25,Improved Algorithm,120,-465
25,Standard Algorithm,15,-1080
25,Standard Algorithm,30,-735
25,Standard Algorithm,60,-655
25,Standard Algorithm,120,-565
26,Improved Algorithm,15,-690
26,Improved Algorithm,30,-540
26,Improved Algorithm,60,-455
26,Improved Algorithm,120,-450
26,Standard Algorithm,15,-1080
26,Standard Algorithm,30,-735
26,Standard Algorithm,60,-655
26,Standard Algorithm,120,-565
27,Improved Algorithm,15,-690
27,Improved Algorithm,30,-540
27,Improved Algorithm,60,-455
27,Improved Algorithm,120,-450
27,Standard Algorithm,15,-1080
27,Standard Algorithm,30,-735
27,Standard Algorithm,60,-655
27,Standard Algorithm,120,-515
28,Improved Algorithm,15,-690
28,Improved Algorithm,30,-540
28,Improved Algorithm,60,-445
28,Improved Algorithm,120,-450
28,Standard Algorithm,15,-1080
28,Standard Algorithm,30,-735
28,Standard Algorithm,60,-640
28,Standard Algorithm,120,-515
29,Improved Algorithm,15,-690
29,Improved Algorithm,30,-540
29,Improved Algorithm,60,-440
29,Improved Algorithm,120,-420
29,Standard Algorithm,15,-1080
29,Standard Algorithm,30,-735
29,Standard Algorithm,60,-635
29,Standard Algorithm,120,-515
30,Improved Algorithm,15,-690
30,Improved Algorithm,30,-535
30,Improved Algorithm,60,-440
30,Improved Algorithm,120,-420
30,Standard Algorithm,15,-1080
30,Standard Algorithm,30,-735
30,Standard Algorithm,60,-630
30,Standard Algorithm,120,-515
31,Improved Algorithm,15,-690
31,Improved Algorithm,30,-535
31,Improved Algorithm,60,-430
31,Improved Algorithm,120,-415
31,Standard Algorithm,15,-1080
31,Standard Algorithm,30,-735
31,Standard Algorithm,60,-585
31,Standard Algorithm,120,-515
32,Improved Algorithm,15,-690
32,Improved Algorithm,30,-530
32,Improved Algorithm,60,-420
32,Improved Algorithm,120,-415
32,Standard Algorithm,15,-1080
32,Standard Algorithm,30,-710
32,Standard Algorithm,60,-575
32,Standard Algorithm,120,-500
33,Improved Algorithm,15,-690
33,Improved Algorithm,30,-525
33,Improved Algorithm,60,-420
33,Improved Algorithm,120,-405
33,Standard Algorithm,15,-1080
33,Standard Algorithm,30,-695
33,Standard Algorithm,60,-575
33,Standard Algorithm,120,-500
34,Improved Algorithm,15,-690
34,Improved Algorithm,30,-510
34,Improved Algorithm,60,-380
34,Improved Algorithm,120,-385
34,Standard Algorithm,15,-1065
34,Standard Algorithm,30,-695
34,Standard Algorithm,60,-560
34,Standard Algorithm,120,-500
35,Improved Algorithm,15,-690
35,Improved Algorithm,30,-485
35,Improved Algorithm,60,-380
35,Improved Algorithm,120,-375
35,Standard Algorithm,15,-1065
35,Standard Algorithm,30,-675
35,Standard Algorithm,60,-560
35,Standard Algorithm,120,-490
36,Improved Algorithm,15,-690
36,Improved Algorithm,30,-480
36,Improved Algorithm,60,-375
36,Improved Algorithm,120,-365
36,Standard Algorithm,15,-1065
36,Standard Algorithm,30,-645
36,Standard Algorithm,60,-535
36,Standard Algorithm,120,-445
37,Improved Algorithm,15,-690
37,Improved Algorithm,30,-465
37,Improved Algorithm,60,-350
37,Improved Algorithm,120,-360
37,Standard Algorithm,15,-1065
37,Standard Algorithm,30,-645
37,Standard Algorithm,60,-535
37,Standard Algorithm,120,-445
38,Improved Algorithm,15,-690
38,Improved Algorithm,30,-465
38,Improved Algorithm,60,-350
38,Improved Algorithm,120,-360
38,Standard Algorithm,15,-1065
38,Standard Algorithm,30,-635
38,Standard Algorithm,60,-525
38,Standard Algorithm,120,-435
39,Improved Algorithm,15,-690
39,Improved Algorithm,30,-465
39,Improved Algorithm,60,-340
39,Improved Algorithm,120,-350
39,Standard Algorithm,15,-1065
39,Standard Algorithm,30,-635
39,Standard Algorithm,60,-500
39,Standard Algorithm,120,-435
40,Improved Algorithm,15,-690
