time,Sum of used_mem_mb,run_desc
-315,105,Standard Algorithm
-100.2,104,Standard Algorithm
276,97,Improved Algorithm
275.5,96,Improved Algorithm
-315,90,Improved Algorithm
-314.5,90,Improved Algorithm
266.9,58,Improved Algorithm
266.9,58,Standard Algorithm
266.4,57,Improved Algorithm
266.4,57,Standard Algorithm
-304.1,55,Standard Algorithm
-84.5,54,Standard Algorithm
275.5,49,Standard Algorithm
276,49,Standard Algorithm
-303.6,48,Improved Algorithm
-304.1,47,Improved Algorithm
276.5,46,Improved Algorithm
-314.5,45,Standard Algorithm
-314,45,Improved Algorithm
-303.6,45,Standard Algorithm
-303.1,45,Improved Algorithm
-302.6,45,Standard Algorithm
-302.1,45,Improved Algorithm
-301.1,45,Standard Algorithm
-300.6,45,Improved Algorithm
276.5,45,Standard Algorithm
277.5,45,Improved Algorithm
277.5,45,Standard Algorithm
-314,44,Standard Algorithm
-313.5,44,Improved Algorithm
-313.5,44,Standard Algorithm
-313,44,Improved Algorithm
-313,44,Standard Algorithm
-312.5,44,Improved Algorithm
-312.5,44,Standard Algorithm
-312,44,Improved Algorithm
-312,44,Standard Algorithm
-311.5,44,Improved Algorithm
-303.1,44,Standard Algorithm
-302.6,44,Improved Algorithm
-302.1,44,Standard Algorithm
-301.6,44,Improved Algorithm
-301.6,44,Standard Algorithm
-301.1,44,Improved Algorithm
268.4,44,Improved Algorithm
268.4,44,Standard Algorithm
269.9,44,Improved Algorithm
269.9,44,Standard Algorithm
277,44,Improved Algorithm
277,44,Standard Algorithm
278,44,Improved Algorithm
278,44,Standard Algorithm
278.5,44,Improved Algorithm
278.5,44,Standard Algorithm
279,44,Improved Algorithm
267.4,43,Improved Algorithm
267.4,43,Standard Algorithm
267.9,43,Improved Algorithm
267.9,43,Standard Algorithm
268.9,43,Improved Algorithm
268.9,43,Standard Algorithm
269.4,43,Improved Algorithm
269.4,43,Standard Algorithm
